country_code,installed_capacity_MW,pumping_MW,,,country_code,Installed_capacity,pumping capacity
DE,23.7,Not Recorded,,,,,
AT,23.5,Not Recorded,,,,,
CH,23.4,Not Recorded,,,,,
CH,23.4,Not Recorded,,,,,
PT,369,Not Recorded,,,,,
ES,326.57,Not Recorded,,,,,
DE,23.3,Not Recorded,,,,,
DE,23.2,Not Recorded,,,,,
IT,23,Not Recorded,,,,,
IT,23,Not Recorded,,,,,
IT,23,Not Recorded,,,,,
IT,23,Not Recorded,,,,,
IT,23,Not Recorded,,,,,
IT,23,Not Recorded,,,,,
AT,23,Not Recorded,,,,,
ES,324,Not Recorded,,,,,
CH,23,Not Recorded,,,,,
RO,23,Not Recorded,,,,,
FR,22.70700637,Not Recorded,,,,,
CZ,22.5,Not Recorded,,,,,
HR,22.5,Not Recorded,,,,,
BG,22.4,Not Recorded,,,,,
BG,22.4,Not Recorded,,,,,
DE,22.3,Not Recorded,,,,,
CH,324,Not Recorded,,,,,
FR,22,Not Recorded,,,,,
PT,336,270,,,,,
AT,22,Not Recorded,,,,,
AT,22,Not Recorded,,,,,
CH,22,Not Recorded,,,,,
SE,24,Not Recorded,,,,,
IT,22,Not Recorded,,,,,
FR,320,340,,,,,
IT,22,Not Recorded,,,,,
RS,22.7,Not Recorded,,,,,
CH,22,Not Recorded,,,,,
AL,16.22,Not Recorded,,,,,
SK,21.75,Not Recorded,,,,,
FR,21.63435685,Not Recorded,,,,,
DE,21.5,Not Recorded,,,,,
DE,320,Not Recorded,,,,,
FR,21.42356688,Not Recorded,,,,,
SE,22,Not Recorded,,,,,
BG,21.2,Not Recorded,,,,,
SE,21.34713376,Not Recorded,,,,,
IT,21,Not Recorded,,,,,
IT,21,Not Recorded,,,,,
AT,21,Not Recorded,,,,,
UK,21,Not Recorded,,,,,
EL,375,Not Recorded,,,,,
ES,21,Not Recorded,,,,,
SI,21,Not Recorded,,,,,
FI,21,Not Recorded,,,,,
FI,21,Not Recorded,,,,,
RO,21,Not Recorded,,,,,
CH,20.9,Not Recorded,,,,,
CH,20.8,Not Recorded,,,,,
CH,20.8,Not Recorded,,,,,
FR,20.73248408,Not Recorded,,,,,
SE,304,Not Recorded,,,,,
PL,21,Not Recorded,,,,,
CH,20.4,Not Recorded,,,,,
DE,20.3,Not Recorded,,,,,
PT,255,Not Recorded,,,,,
FR,20.28220955,Not Recorded,,,,,
DE,20.2,Not Recorded,,,,,
CH,20.2,Not Recorded,,,,,
AT,20,Not Recorded,,,,,
AT,20,Not Recorded,,,,,
SE,21,Not Recorded,,,,,
SE,20,Not Recorded,,,,,
SI,20,Not Recorded,,,,,
DE,20,Not Recorded,,,,,
DE,20,Not Recorded,,,,,
CH,20,Not Recorded,,,,,
DE,20,Not Recorded,,,,,
SE,20,Not Recorded,,,,,
EL,334,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,20,Not Recorded,,,,,
IT,1005,1029,,,,,
BA,315,Not Recorded,,,,,
AT,20,Not Recorded,,,,,
UK,20,Not Recorded,,,,,
UK,20,Not Recorded,,,,,
UK,20,Not Recorded,,,,,
UK,20,Not Recorded,,,,,
CH,20,Not Recorded,,,,,
ES,20,Not Recorded,,,,,
ES,20,Not Recorded,,,,,
ES,285,68,,,,,
DE,19.8,Not Recorded,,,,,
PL,20,Not Recorded,,,,,
DE,19.4,Not Recorded,,,,,
DE,19.2,Not Recorded,,,,,
MK,19.2,Not Recorded,,,,,
CH,19.14,Not Recorded,,,,,
UK,19.1,Not Recorded,,,,,
CH,19.06,Not Recorded,,,,,
FR,19,Not Recorded,,,,,
AT,19,Not Recorded,,,,,
AT,19,Not Recorded,,,,,
IT,19,Not Recorded,,,,,
IT,19,Not Recorded,,,,,
IT,19,Not Recorded,,,,,
IT,19,Not Recorded,,,,,
IT,19,Not Recorded,,,,,
EL,320,Not Recorded,,,,,
ME,307,Not Recorded,,,,,
SI,19,Not Recorded,,,,,
CH,19,Not Recorded,,,,,
ES,19,Not Recorded,,,,,
DE,18.9,Not Recorded,,,,,
SK,18.9,Not Recorded,,,,,
DE,18.8,Not Recorded,,,,,
SE,20,Not Recorded,,,,,
CH,18.66,Not Recorded,,,,,
UK,18.6,Not Recorded,,,,,
DE,18.4,Not Recorded,,,,,
UK,305,300,,,,,
CH,18.3,Not Recorded,,,,,
FR,18.25398859,Not Recorded,,,,,
AT,18,Not Recorded,,,,,
AT,18,Not Recorded,,,,,
CH,18,Not Recorded,,,,,
SE,18.8,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
IT,18,Not Recorded,,,,,
UK,18,Not Recorded,,,,,
UK,18,Not Recorded,,,,,
CH,18,Not Recorded,,,,,
ES,18,Not Recorded,,,,,
FI,18,Not Recorded,,,,,
RO,18,Not Recorded,,,,,
RO,18,Not Recorded,,,,,
DE,17.8,Not Recorded,,,,,
CH,17.75,Not Recorded,,,,,
